comparison_id,study_id,comparison_type,modality_1,modality_2,version_1,version_2,n_readers,reader_1_specialty,reader_1_experience_yrs,reader_2_specialty,reader_2_experience_yrs,blinding,reading_session_type,n_cysts,n_categories,categories_used,collapsing_scheme,kappa_type,weight_scheme,kappa,kappa_se,ci_lower,ci_upper,observed_agreement,gwet_ac1,gwet_ac2,icc,icc_type,krippendorff_alpha,has_raw_table,exclude,metric_note,std_modality_1,std_modality_2,std_version_1,std_version_2,reader_structure,variation_axis,dep_id,sensitivity_flags,analytic_stratum,opes_rank,opes_include,opes_basis,opes_exclude_reason,exp_mean,specialty_group,blinding_reported,study_design_cat,region
C001,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.354,,0.286,0.431,,,,,,,0,,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,,,lower_priority_version_within_study,2.0,mixed,blinded,retrospective,Asia
C002,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.373,,0.292,0.487,,,,,,,0,,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,1,pooled_direct,,3,mixed,blinded,retrospective,Asia
C003,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,2,"conservative (I/II/IIF), surgery (III/IV)",I+II+IIF vs III+IV,Fleiss,unweighted,0.655,,0.532,0.78,,,,,,,0,supplementary_collapsed,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C004,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,2,"conservative (I/II/IIF), surgery (III/IV)",I+II+IIF vs III+IV,Fleiss,unweighted,0.626,,0.49,0.77,,,,,,,0,supplementary_collapsed,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C005,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,3,"no follow-up (I/II), follow-up (IIF), surgery (III/IV)",I+II vs IIF vs III+IV,Fleiss,unweighted,0.469,,0.36,0.591,,,,,,,0,supplementary_collapsed,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C006,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,3,"no follow-up (I/II), follow-up (IIF), surgery (III/IV)",I+II vs IIF vs III+IV,Fleiss,unweighted,0.474,,0.352,0.592,,,,,,,0,supplementary_collapsed,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C007,Abufaraj_2025,inter-reader,CT,,2005,,6,radiology residents (3rd and 4th year),3rd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.466,,0.381,0.57,,,,,,,0,,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,3.0,mixed,blinded,retrospective,Asia
C008,Abufaraj_2025,inter-reader,CT,,2019,,6,radiology residents (3rd and 4th year),3rd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.48,,0.36,0.609,,,,,,,0,,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,3.0,mixed,blinded,retrospective,Asia
C009,Abufaraj_2025,inter-reader,CT,,2005,,4,radiology residents (4th year only),4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.474,,0.369,0.593,,,,,,,0,,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,4.0,mixed,blinded,retrospective,Asia
C010,Abufaraj_2025,inter-reader,CT,,2019,,4,radiology residents (4th year only),4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.417,,0.285,0.563,,,,,,,0,,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,4.0,mixed,blinded,retrospective,Asia
