"study_id","overall_rob","qarel_yes_count","qarel_total","Q1","Q2","Q3","Q4","Q5","Q6","Q7"
"Abufaraj_2025","Moderate","6","7","No","Yes","Yes","Unclear","Yes","Yes","Yes"
"Almalki_2023","Low","7","7","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Angelini_2021","Moderate","3","6","Unclear","Unclear","N/A","Unclear","Unclear","Yes","Yes"
"Anshulmeena_2026","Moderate","1","6","Yes","No","Unclear","Unclear","Unclear","Yes","Unclear"
"Arita_2022","Low","6","6","Yes","Yes","Yes","Yes","N/A","Yes","Yes"
"Ascenti_2007","Low","7","7","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bai_2020","Low","7","7","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Bai_2022","Moderate","3","6","No","Yes","N/A","Unclear","Unclear","Yes","Yes"
"Benjaminov_2006","Low","5","6","No","Unclear","Yes","Unclear","N/A","Yes","Yes"
"Bertolotto_2010","Low","7","7","Unclear","Yes","Yes","Yes","Yes","Yes","Yes"
"Bertolotto_2015","Low","6","6","Unclear","Yes","Yes","Unclear","Yes","Yes","Yes"
"Bielsa_Gali_1999","High","1","6","No","No","Unclear","Unclear","Unclear","Yes","Unclear"
"Chan_2021","Moderate","6","7","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Chandrasekar_2023","Moderate","1","6","No","Unclear","N/A","Unclear","Unclear","Yes","Unclear"
"Chang_2015","Moderate","1","6","Unclear","No","Yes","Unclear","N/A","Unclear","Unclear"
"Clevert_2008","Moderate","2","6","Yes","Unclear","Unclear","Unclear","Unclear","Yes","Unclear"
"Como_2021","Low","5","5","Unclear","Yes","N/A","Yes","N/A","Yes","Yes"
"Dana_2023","Moderate","6","7","No","Yes","Yes","Unclear","Yes","Yes","Yes"
"Das_2023","Moderate","4","6","Yes","Unclear","Unclear","Unclear","Unclear","Yes","Yes"
"Destefani_2017","Moderate","5","6","Unclear","Yes","Yes","Unclear","N/A","Yes","Yes"
"El-Mokadem_2014","Moderate","3","6","Yes","Unclear","Unclear","Unclear","N/A","Yes","Yes"
"Elbanna_2021","Low","5","6","Unclear","Yes","Yes","Yes","N/A","Yes","Yes"
"Ferreira_2016","Low","7","7","Unclear","Yes","Yes","Yes","Yes","Yes","Yes"
"Foukal_2014","Moderate","1","6","Unclear","Unclear","Unclear","Unclear","Unclear","Yes","Unclear"
"Frumer_2021","Moderate","5","6","No","Yes","Yes","Yes","N/A","Yes","Yes"
"Gomma_2023","Low","4","5","Unclear","Yes","Yes","Yes","N/A","Yes","Unclear"
"Graumann_2015","Moderate","5","7","Unclear","Yes","Yes","Unclear","Yes","Yes","Yes"
"Graumann_2016","Moderate","4","5","Yes","Yes","N/A","Unclear","N/A","Yes","Yes"
"Guo_2024","Low","6","6","No","Yes","Yes","Yes","N/A","Yes","Yes"
"He_2025","Moderate","3","5","No","Unclear","Yes","Unclear","N/A","Yes","Yes"
"He_2026","Moderate","4","6","Unclear","Yes","Yes","Unclear","N/A","Yes","Yes"
