stratum,moderator,contrast,effects,studies,clusters,level_counts,beta,se,ci_lower,ci_upper,df,p_raw,p_fdr_bh,df_interpretation
Inter-reader,No. of categories,4-5 vs 2-3,176,47,52,2-3: 19 effects/8 studies/9 clusters; 4-5: 157 effects/42 studies/45 clusters,0.08057486897151446,0.12585565177744076,-0.20563393092004506,0.36678366886307395,8.70000756565085,0.5385248062878254,0.7720309029269272,Fragile (df 4-<10)
Inter-reader,Weight scheme,Weighted vs unweighted,135,39,41,Unweighted: 50 effects/15 studies/15 clusters; Weighted: 85 effects/25 studies/27 clusters,0.04512580182730454,0.13795652192790753,-0.2407588721240887,0.33101047577869774,22.295425619571404,0.7466422849590515,0.8614409512048129,Exploratory
Inter-reader,Imaging modality,MRI vs CT,137,41,44,CEUS_US: 38 effects/14 studies/15 clusters; CT: 55 effects/25 studies/25 clusters; MRI: 44 effects/16 studies/18 clusters,-0.06752260645734215,0.053447736231294396,-0.20141933050407299,0.06637411758938869,5.472893530750603,0.25761358391513556,0.5793645439142342,Fragile (df 4-<10)
Inter-reader,Imaging modality,CEUS/US vs CT,137,41,44,CEUS_US: 38 effects/14 studies/15 clusters; CT: 55 effects/25 studies/25 clusters; MRI: 44 effects/16 studies/18 clusters,-0.10306534763940131,0.15924525584349597,-0.44193242733782534,0.2358017320590227,15.288044395318952,0.5270945764580923,0.7720309029269272,Exploratory
Inter-reader,Bosniak version (CT-only),v2019 vs original,53,23,23,Original: 32 effects/19 studies/19 clusters; v2019: 21 effects/11 studies/11 clusters,-0.03532109537304249,0.042024985023624464,-0.14115305727885757,0.07051086653277258,5.369238022956473,0.43645901051765246,0.6983344168282439,Fragile (df 4-<10)
Inter-reader,Publication type,Abstract vs full text,178,47,52,Full text: 174 effects/45 studies/50 clusters; Abstract: 4 effects/2 studies/2 clusters,0.545880542366108,0.262427740479087,-2.292327703629721,3.384088788361937,1.073904783814152,0.27157712995979727,0.5793645439142342,Non-interpretable (df<4)
Inter-reader,log(sample size),log_nc,178,47,52,Overall: 178 effects/47 studies/52 clusters,0.04078026876135227,0.0755751228556814,-0.11958498831012601,0.20114552583283055,15.814156787454522,0.5969901356182128,0.7959868474909504,Exploratory
Inter-reader,No. of readers,3 or more vs 2,178,47,52,2: 120 effects/36 studies/39 clusters; 3 or more: 58 effects/13 studies/15 clusters,-0.06927962758841631,0.07657519975237984,-0.26980244975121304,0.13124319457438038,4.711587298144668,0.40948632672504565,0.6983344168282439,Fragile (df 4-<10)
Inter-reader,Mean reader experience,exp_mean_num,112,31,34,Overall: 112 effects/31 studies/34 clusters,0.005177104975510146,0.016613920935351748,-0.038314015330841555,0.04866822528186185,4.716537112291369,0.7686347293800228,0.8614409512048129,Fragile (df 4-<10)
Inter-reader,Reader subspecialization,Subspecialty vs other,130,39,41,Other: 69 effects/24 studies/24 clusters; Subspecialty: 61 effects/16 studies/18 clusters,0.0983207251619066,0.09717415542598071,-0.12932131237127126,0.32596276269508445,7.339688690894037,0.3438209709114729,0.6471924158333607,Fragile (df 4-<10)
