analytic_stratum,study_id,first_author,year,publication_type,retained_comparisons,retained_metric_types,eligible_kappa_effects,selected_opes_effects,primary_model_status
inter-reader,Siegel_1997,Siegel,1997,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Benjaminov_2006,Benjaminov,2006,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Ascenti_2007,Ascenti,2007,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Bertolotto_2010,Bertolotto,2010,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Kim_2010,Kim,2010,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Peng_2010,Peng,2010,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,El-Mokadem_2014,El-Mokadem,2014,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Rosenkrantz_2014,Rosenkrantz,2014,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Seppala_2014,Seppala,2014,journal_article,8,ICC,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
inter-reader,Bertolotto_2015,Bertolotto,2015,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Chang_2015,Chang,2015,conference_abstract,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Graumann_2015,Graumann,2015,journal_article,6,kappa,6,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Karmazyn_2015,Karmazyn,2015,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Ferreira_2016,Ferreira,2016,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Ragel_2016,Ragel,2016,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
