analysis_family,analysis,outcome_scale,cluster_mode,effects,clusters,studies,estimate,ci_lower,ci_upper,pi_lower,pi_upper,robust_se_working_scale,satterthwaite_df,p_value
primary,Inter-reader primary RVE+CR2,z,dependency,178,52,47,0.6688944651921283,0.6000786871871033,0.7278826855251098,0.044888626267578446,0.9174321233166577,0.05749125422297954,50.08677563968612,5.00813496553437e-19
primary,Inter-modality primary RVE+CR2,z,dependency,41,33,30,0.6199853200739875,0.535387898177909,0.6922664006972393,0.07838975940655957,0.879013489653239,0.06245254786032087,31.36039013210441,6.913930848375394e-13
primary,Intra-reader primary OPES,z,one_per_study,4,4,4,0.8983622468712401,0.5043199198902731,0.9827511996248977,-0.49456038626478155,0.998063056582318,0.46357134739925254,NA,0.0015919965379303585
primary,Inter-version primary OPES,z,one_per_study,7,7,7,0.53381791434962,0.2971927083103987,0.7086672634534262,-0.178266408368378,0.8789496010684105,0.14746800403819427,NA,5.3918688846668537e-5
standard_adult,Inter-reader standard-scheme adult-only,z,dependency,143,44,39,0.6588791225373997,0.5707126565286896,0.7320273229651818,-0.10805745003921807,0.9341652342780247,0.07051877759034748,42.62197434648391,2.6854826986912967e-14
standard_adult,Inter-modality standard-scheme adult-only,z,dependency,20,14,14,0.670455739830204,0.5271668554922069,0.7766719011111607,-0.02109865719747643,0.9280633713457548,0.10428732599514845,12.967181987388372,3.0703143400638506e-6
standard_adult,CT-US-based standard-scheme adult-only OPES,z,one_per_study,2,2,2,0.36093784572055765,0.09681636363760221,0.5775689552291704,-0.04531368927351119,0.6647474877310708,0.1432899961296585,NA,0.008345701757386898
variance_source,Inter-reader directly reported variance only,z,dependency,79,21,19,0.6795217667585788,0.5723863723743544,0.7638465301928485,0.08738107671233143,0.916841929501226,0.08472394707966435,19.27175539630661,6.61424855582154e-9
variance_source,Inter-modality directly reported variance only,z,dependency,19,14,11,0.6556551201236555,0.517201221605965,0.7606674039312051,0.061473809979493116,0.9067182025448723,0.09827365362052393,12.801273309102271,2.5088667535575317e-6
transformation,Inter-reader untransformed kappa,kappa,dependency,178,52,47,0.6309315145202125,0.579221358905026,0.6826416701353989,0.28611362335144214,0.9757494056889828,0.0257474145489835,50.19779832813249,1.377625051103683e-29
transformation,Inter-modality untransformed kappa,kappa,dependency,41,33,30,0.6028866282741348,0.5306023428127289,0.6751709137355406,0.25491975364601116,0.9508535029022583,0.035407123476096744,30.266677020626467,4.7282606547238284e-17
cluster,Inter-reader study-level clustering,z,study,178,47,47,0.6901927346890837,0.6207153395801885,0.7489149325524539,0.07962921862187383,0.9241658128156783,0.06065388231887065,45.09902355466353,5.179568677312458e-18
cluster,Inter-modality study-level clustering,z,study,41,30,30,0.6098942026542871,0.5219149060487968,0.6850338187498608,0.07413466397024111,0.8724470275950019,0.06339694558678922,28.37766956703265,6.548687903834034e-12
sample_size,Inter-reader n>=30 lesions,z,dependency,143,46,43,0.6858360938646129,0.6150613677437089,0.7456475252386289,0.08426558349874133,0.9210090342459822,0.06104800033828734,44.066929177668456,1.4722084130611695e-17
sample_size,Inter-modality n>=30 lesions,z,dependency,34,27,26,0.6572500222103668,0.572561102565755,0.7280610732947489,0.14944177105579073,0.8907085193831155,0.06643891013761878,25.748557208934795,6.2020807951632555e-12
representative_spectrum,Inter-reader representative-spectrum studies,z,dependency,16,9,8,0.69135912835394,0.4036163941064835,0.854648487433536,-0.1949453268607544,0.9561159061668552,0.18238635084211774,7.787159663633466,0.001736687163781051
representative_spectrum,Inter-modality representative-spectrum studies,z,dependency,12,10,9,0.7417439785688207,0.5842461774079857,0.8454000918242814,0.16508531464780274,0.9404674790144126,0.12598722647252678,8.906417746151925,3.616569284808124e-5
rho_sensitivity,Inter-reader (rho=0),z,dependency_correlated_working_V,178,52,47,0.6688944651920139,0.6000786871862431,0.7278826855255474,NA,NA,0.05749125422353475,50.08677563929518,5.008134968328331e-19
rho_sensitivity,Inter-modality (rho=0),z,dependency_correlated_working_V,41,33,30,0.6199853200743426,0.535387898178173,0.6922664006976472,NA,NA,0.06245254786041122,31.360390131966668,6.913930848910385e-13
rho_sensitivity,Inter-reader (rho=0.3),z,dependency_correlated_working_V,178,52,47,0.6678949373580749,0.5994000152030792,0.726679877653672,NA,NA,0.057115995035563555,49.964365686978745,4.428835333278053e-19
rho_sensitivity,Inter-modality (rho=0.3),z,dependency_correlated_working_V,41,33,30,0.6204960501406757,0.5361361689355923,0.6925842304316565,NA,NA,0.06234593285639828,31.37357160783366,6.389083575407023e-13
rho_sensitivity,Inter-reader (rho=0.5),z,dependency_correlated_working_V,178,52,47,0.6672238785084375,0.5988594647112095,0.7259344175433073,NA,NA,0.056930302794947395,49.863877142341764,4.302549760471038e-19
rho_sensitivity,Inter-modality (rho=0.5),z,dependency_correlated_working_V,41,33,30,0.6208154683257681,0.5366058083312902,0.6927817970180464,NA,NA,0.06227778691161197,31.37879074579639,6.085161598118683e-13
rho_sensitivity,Inter-reader (rho=0.8),z,dependency_correlated_working_V,178,52,47,0.6662035857739876,0.5979196248911498,0.7248876583483385,NA,NA,0.056739834945344826,49.6894486850751,4.431555825436252e-19
rho_sensitivity,Inter-modality (rho=0.8),z,dependency_correlated_working_V,41,33,30,0.6212524898360952,0.5372631789786213,0.69304128043982,NA,NA,0.06217367135018997,31.378946999426052,5.684072922936151e-13
