study_id,first_author,year,bosniak_version,analytic_standardized_versions,submitted_table_display_error,audit_disposition
Siegel_1997,Siegel,1997,"original (1986, pre-IIF category)",original,FALSE,No version-display correction required
Bielsa_Gali_1999,Bielsa Gali,1999,original,original; unspecified,FALSE,No version-display correction required
Israel_2004,Israel,2004,2005 (original with IIF),original,FALSE,No version-display correction required
Benjaminov_2006,Benjaminov,2006,2005,original,FALSE,No version-display correction required
Ascenti_2007,Ascenti,2007,2005,original; unspecified,FALSE,No version-display correction required
Park_2007,Park,2007,2005,original; unspecified,FALSE,No version-display correction required
Clevert_2008,Clevert,2008,original (Bosniak 1986/2003/2005),modified; original,FALSE,No version-display correction required
Bertolotto_2010,Bertolotto,2010,original (Israel & Bosniak 2005 formulation),original,FALSE,No version-display correction required
Ignee_2010,Ignee,2010,"original (1993), modified for CEUS",modified; original,FALSE,No version-display correction required
Kim_2010,Kim,2010,2005 (Israel & Bosniak update),original,FALSE,No version-display correction required
Peng_2010,Peng,2010,modified Bosniak for pediatric (Wallis 2008),modified,FALSE,No version-display correction required
El-Mokadem_2014,El-Mokadem,2014,original (1993/2005),original,FALSE,No version-display correction required
Foukal_2014,Foukal,2014,original (2005) for CT; Ascenti modification for CEUS,modified; original,FALSE,No version-display correction required
Rosenkrantz_2014,Rosenkrantz,2014,original Bosniak (pre-2019),original,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Seppala_2014,Seppala,2014,"original (pre-2019, includes IIF)",original,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Bertolotto_2015,Bertolotto,2015,"original (Bosniak criteria for CEUS per Quaia 2008, Ascenti 2007)",modified,FALSE,No version-display correction required
Chang_2015,Chang,2015,NA,unspecified,FALSE,No version-display correction required
Graumann_2015,Graumann,2015,2005 (original with IIF from 1993),original,FALSE,No version-display correction required
Karmazyn_2015,Karmazyn,2015,"modified Bosniak for US (4 categories, pediatric)",modified,FALSE,No version-display correction required
Ferreira_2016,Ferreira,2016,2005,original,FALSE,No version-display correction required
Graumann_2016,Graumann,2016,2005 (original),original; unspecified,FALSE,No version-display correction required
Ragel_2016,Ragel,2016,original Bosniak (pre-2019),original; unspecified,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Rocca_2016,Rocca,2016,original Bosniak (pre-2019),unspecified,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Sanz_2016,Sanz,2016,original (pre-2019),original; unspecified,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Destefani_2017,Destefani,2017,2005,original,FALSE,No version-display correction required
Zhong_2017,Zhong,2017,1986,original,FALSE,No version-display correction required
Oon_2018,Oon,2018,"original (1993/2005), modified for CEUS",modified; original,FALSE,No version-display correction required
Pitra_2018,Pitra,2018,original Bosniak (pre-2019),original,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Mu_2019,Mu,2019,2005,unspecified,FALSE,No version-display correction required
Shaish_2019,Shaish,2019,original (pre-2019),original,TRUE,Corrected Table 1 display from v2019 to original/pre-2019; analytic standardized coding was already original
Verzotti_2019,Verzotti,2019,2005,unspecified,FALSE,No version-display correction required
Bai_2020,Bai,2020,both,original; v2019,FALSE,No version-display correction required
Lee_2020,Lee,2020,2019,v2019,FALSE,No version-display correction required
