record_type,record_id,field,submitted_value,revised_value,reason,evidence
study,Chang_2015,publication_type,journal_article,conference_abstract,The source is poster FR-PO381 in the JASN 2015 conference supplement; it is not a full-length article.,"Source report, page 442A"
table_display,Rosenkrantz_2014; Seppala_2014; Rocca_2016; Ragel_2016; Sanz_2016; Pitra_2018; Lerchbaumer_2020; Lucocq_2021; Shaish_2019,Bosniak_version,v2019,original/pre-2019,The Table 1 generation code incorrectly displayed nine pre-2019 studies as v2019. The analytic version coding used in the meta-analyses was unaffected.,studies.csv; comparisons.csv
study,Lucocq_2020,doi,,10.1002/bjs.12069,Added the DOI assigned to the British Journal of Surgery ePosters collection containing the abstract.,Publisher bibliographic record
study,Kang_2022,doi,,10.3760/cma.j.cn112149-20210926-00879,Added the official article DOI.,Official journal record
study,Bai_2022,doi,,10.3760/cma.j.cn112149-20211013-00918,Added the official article DOI.,Official journal record
study,Urraro_2026,n_patients,92,80,The source reports 80 patients with 92 cystic renal lesions.,"Urraro_2026.pdf, abstract and Methods"
comparison,C357-C360,estimand classification,four inter-reader kappa effects,excluded reader-specific diagnostic-agreement values,"With two readers, the four modality-specific senior/junior values cannot be four inter-reader kappas.","Urraro_2026.pdf, Results section 3.4"
comparison,C626,inter-reader kappa,not extracted,0.83,The abstract directly reports the overall inter-reader kappa; the modality is not specified.,"Urraro_2026.pdf, abstract"
comparison,C260; C261; C486; C626,OPES selection,Tse C261 and C486 selected; Urraro unselected,Tse C260 and Urraro C626 selected,Restores exactly one selected effect per study and stratum using the directly reported pooled Tse estimate and overall Urraro estimate.,comparisons.csv audit; Tse_2021_b.pdf; Urraro_2026.pdf
comparison,C260-C263,standardized moderator fields,modality/version and shared reader metadata incomplete,"source-consistent CT/MRI, version, reader, blinding, and session fields","The restored pooled rows share the source study's reported modality, version, readers, and reading conditions.",Tse_2021_b.pdf; comparisons.csv audit
study,"Angelini_2021; Chang_2015; Rocca_2016",publication_type,"blank/journal_article/journal_article",conference_abstract,"Source verification identified all three reports as conference abstracts.","Angelini_2021.pdf; Chang_2015.pdf; Embase record L640726087"
study,"Bielsa_Gali_1999; Ignee_2010; Oon_2018; Reizine_2024",publication_type,"original article/blank/blank/blank",journal_article,"Standardized verified full journal articles so the publication-type moderator uses all eligible inter-modality effects.","Local full texts"
study,Bai_2022,"country; study_design; enrollment period; n_patients; n_cysts; imaging_modalities","blank; blank; blank; blank; blank; MR","China; retrospective; 2009-01 to 2019-06; 207; 207; MRI","Completed study metadata from the detailed indexed abstract.","Embase record L2022233918"
study,Kang_2022,n_patients,,187,"The indexed abstract explicitly reports 187 patients with 187 cystic renal masses.","Detailed indexed abstract; DOI 10.3760/cma.j.cn112149-20210926-00879"
study,Rocca_2016,country,,Italy,"The conference abstract reports the Ferrara, Italy study setting.","Embase record L640726087"
study,"Lee_2020; Lucocq_2020",n_patients,"54; blank","49; 401","Aligned Table 1 with the full-study patient counts reported by each source.","Lee_2020.pdf; publisher conference abstract"
study,"Elbanna_2021; Ignee_2010; Lucocq_2020; Oon_2018; Reizine_2024",n_cysts,"80; blank; 32; 21; blank","241; 143; 438; 31; 127","Applied the full-study renal-mass/lesion policy used for the revised Table 1 column.","Source full texts or detailed indexed abstract"
comparison,C027;C524-C529,"study_design_cat; region","blank; blank","retrospective; Asia","Completed standardized moderator metadata for Bai_2022; these ICC effects remain outside the inter-reader and inter-modality moderator models.","Embase record L2022233918"
